sigma,price
0.201900,1009.755206
0.202100,1009.697965
0.202000,1009.726321
0.202400,1009.622854
0.202500,1009.592402
0.202600,1009.566931
0.202700,1009.539274
0.203000,1009.480363
0.202900,1009.498773
0.203300,1009.404514
0.203400,1009.377323
0.203600,1009.334497
0.203700,1009.309243
0.203800,1009.290926
0.203900,1009.262127
0.204200,1009.179795
0.204100,1009.204044
0.204600,1009.072935
0.204500,1009.098983
0.204700,1009.054792
0.204800,1009.032534
0.205200,1008.924269
0.205000,1008.979350
0.205300,1008.905624
0.205400,1008.871177
0.205700,1008.798624
0.205600,1008.818235
0.206100,1008.716556
0.206000,1008.737215
0.206400,1008.639307
0.206200,1008.696016
0.206700,1008.562159
0.206600,1008.580196
0.206900,1008.512346
0.206800,1008.534924
0.207300,1008.448306
0.207100,1008.487223
0.207600,1008.370573
0.207500,1008.397895
0.207800,1008.318230
0.207700,1008.340657
0.208200,1008.230478
0.208000,1008.262962
0.208500,1008.155208
0.208400,1008.177704
0.208700,1008.120953
0.208600,1008.134529
0.209100,1008.022736
0.209000,1008.054743
0.209300,1007.982544
0.209400,1007.961510
0.209600,1007.913463
0.209700,1007.886639
0.210000,1007.830395
0.209800,1007.865365
0.210300,1007.771692
0.210100,1007.808228
0.210600,1007.686171
0.210500,1007.712854
0.210800,1007.638713
0.210900,1007.621114
0.211000,1007.599237
0.211200,1007.548357
0.211300,1007.519013
0.211400,1007.495001
0.211600,1007.448361
0.211800,1007.399179
0.212000,1007.350476
0.212100,1007.327782
0.212200,1007.296405
0.212400,1007.244434
0.212500,1007.224001
0.212600,1007.201240
0.212900,1007.130956
0.212800,1007.146951
0.213200,1007.055914
0.213100,1007.086430
0.213500,1006.981418
0.213600,1006.955619
0.213800,1006.903296
0.213900,1006.879019
0.214100,1006.843310
0.214000,1006.863121
0.214500,1006.734566
0.214400,1006.765819
0.214700,1006.688453
0.214600,1006.712755
0.214900,1006.651086
0.215000,1006.637224
0.215400,1006.555292
0.215200,1006.598277
0.215600,1006.497259
